"img-link href","list-view-image src","photo-count","list-view-price","list-view-date","list-view-title","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","eids-badge__description","eids-badge__label","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/mugla-bodrum-golkoy-kiralik/daire/120934-267","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/0/5/6/2/3/4/5364df06-9f72-4220-a71b-64205b76c7f1.jpeg","9","180.000","31-12-2024","","3 +
                          1","110 m²","Sıfır Bina","2. Kat","Muğla / Bodrum / Gölköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","Bodrum Homes","","","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/daire/69537-85072","","11","120.000","31-12-2024","","2 +
                          1","180 m²","12
                        Yaşında","21 ve üzeri","İstanbul / Şişli / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/0/5/0/7/3/4/1731648106947-43705070.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-yalikavak-kiralik/daire/120934-223","","9","150.000","31-12-2024","","1 +
                          1","70 m²","3
                        Yaşında","2. Kat","Muğla / Bodrum / Yalıkavak Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/6/2/2/6/2/4/1715263011995-42622627.jpg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-turkbuku-kiralik/daire/120934-133","","9","160.000","31-12-2024","","2 +
                          1","140 m²","1
                        Yaşında","En Üst Kat","Muğla / Bodrum / Türkbükü Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/5/0/6/4/2/4/1712259047132-42460595.jpg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-torba-kiralik/daire/120934-309","","8","500.000","31-12-2024","","2 +
                          1","80 m²","5
                        Yaşında","1. Kat","Muğla / Bodrum / Torba Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/1/5/6/2/3/4/c86e210f-859c-433b-ab87-8670177a65c6.jpeg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-turkbuku-kiralik/daire/120934-38","","8","50.000","31-12-2024","","2 +
                          1","150 m²","10
                        Yaşında","En Üst Kat","Muğla / Bodrum / Türkbükü Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/8/5/4/4/3/6/3/7647c012-b205-41ab-bdb3-b49921cb2251.jpg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-dirmil-kiralik/daire/120934-215","","4","350.000","31-12-2024","","2 +
                          1","90 m²","12
                        Yaşında","2. Kat","Muğla / Bodrum / Dirmil Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/8/1/2/0/6/2/4/1715006387971-42602182.jpg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-turkbuku-kiralik/daire/120934-394","","2","300.000","31-12-2024","","2 +
                          1","120 m²","3
                        Yaşında","Bahçe Katı","Muğla / Bodrum / Türkbükü Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/9/0/2/3/3/4/16b8792e-4604-42fb-a34c-8683ec5dddc9.jpeg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-yalikavak-kiralik/daire/120934-401","","1","550.000","31-12-2024","","2 +
                          1","130 m²","11
                        Yaşında","Bahçe Katı","Muğla / Bodrum / Yalıkavak Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/9/0/2/3/3/4/b25bb69b-8bbd-4141-9920-be15e950e8de.jpeg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/daire/120934-282","","1","700.000","31-12-2024","","2 +
                          1","110 m²","5
                        Yaşında","2. Kat","Muğla / Bodrum / Gündoğan Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/0/5/6/2/3/4/c138eccb-8f72-4750-99c8-695d4d8211aa.jpeg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/daire/120934-176","","1","650.000","31-12-2024","","2 +
                          1","110 m²","5
                        Yaşında","Kot 2","Muğla / Bodrum / Gündoğan Mah.","https://www.hepsiemlak.com/emlak-ofisi/bodrum-homes-120934","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/7/1/2/5/2/4/1713715621-202887-42521796.jpeg","Bodrum Homes","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/9/0/2/1/e4a6da33-2f15-4d05-80a3-49aec9ce975a.jpg","",""
"https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/daire/69537-85072","","11","120.000","31-12-2024","","2 +
                          1","180 m²","12
                        Yaşında","21 ve üzeri","İstanbul / Şişli / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/0/5/0/7/3/4/1731648106947-43705070.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","",""
